serial#,Date,DOY,4 Tav1,4 Tav2,6 VPDav,6 SWC,6 GRav,6 GRmx,4 IG 8d,4 GPPec,4 GPPm1,4 FPARm,6 Tav,6 Tmax,6 RHmin,6 VPDav,6 SWCav,6 GRav,6 GRmax,6 IG 8d,6 GPPm,6 FPARm,5 Tav,5 Tmax,5 RHmin,5 VPDav,5 IG 8d,5 GPPm,5 FPARm
1,2017-09-30,273,26.4,,,,,,15.38,10.55,14.00,0.26,,,,,,,,24.07,12.40,0.23,,,,,8.26,14.40,0.27
2,2017-10-08,281,22.9,25.8,2.615,0.0142,670.4,794.1,11.77,9.36,15.20,0.29,19.5,28.4,30.8,1.3,0.067,566.0,780.8,21.61,13.40,0.26,19.0,29.1,31.5,1.3,6.96,13.40,0.26
3,2017-10-16,289,24.1,31.2,3.663,0.0138,602.5,772.9,10.42,6.77,9.80,0.26,22.3,31.9,21.7,2.1,0.070,500.8,775.6,25.25,8.30,0.22,21.5,31.9,22.5,2.0,6.77,9.70,0.26
4,2017-10-24,297,26.6,,3.054,,,,12.85,10.64,8.60,0.26,21.4,30.2,28.8,1.9,0.071,467.9,720.9,26.59,7.30,0.22,20.6,30.1,29.3,1.7,8.29,9.00,0.27
5,2017-11-01,305,22.6,,1.357,,,,10.96,17.20,10.90,0.17,15.9,23.1,46.5,0.6,0.068,357.9,682.7,,8.90,0.12,15.3,23.3,47.8,0.6,3.51,10.90,0.13
6,2017-11-09,313,18.7,,2.617,,,,7.69,17.73,9.20,0.28,18.3,28.1,27.8,1.2,0.068,414.5,676.4,,6.70,0.28,17.1,27.0,32.7,1.1,-0.04,9.00,0.28
7,2017-11-17,321,21.9,30.8,3.575,0.0139,513.4,630.3,14.20,23.30,8.60,0.27,20.3,30.8,16.1,1.8,0.071,406.9,643.7,,6.50,0.21,18.9,29.1,20.1,1.6,1.98,8.80,0.28
8,2017-11-25,329,24.9,21.5,1.676,0.0148,357.2,485.3,16.07,7.70,8.30,0.28,16.5,24.9,29.6,1.1,0.071,298.0,509.4,,8.20,0.28,15.7,24.4,32.8,1.0,8.95,7.90,0.27
9,2017-12-03,337,18.3,21.4,2.090,0.0135,417.8,559.6,9.98,7.14,4.90,0.15,16.1,24.3,15.9,1.4,0.070,342.6,582.2,15.55,6.00,0.18,15.1,22.4,19.3,1.3,-2.77,6.00,0.18
10,2017-12-11,345,19.6,22.4,2.674,0.0124,407.0,511.4,11.07,7.11,5.80,0.27,15.9,25.3,11.6,1.5,0.069,363.4,608.9,19.71,5.90,0.28,14.8,23.1,14.4,1.4,-1.12,6.90,0.28
